"delta","eta","t1","t2","t","t2opt","t2opt_true","t_true","a2true","a1true","y1","y2","cen","x1","x2","a1","a2"
1,1,574.704511403261,78.2556150499732,652.960126453235,78.2556150499732,82.7216160954566,646.896439732558,0,1,574.704511403261,78.2556150499732,895.658467882468,0.144372438904829,1.24056405278388,0,0
1,0,546.805788355765,97.6809039954455,665.642650334016,118.836861978251,143.112581640741,931.28962477313,1,0,665.642650334016,0,1204.57669624593,0.76652902697213,1.79209112077951,1,0
1,0,767.819177667994,107.5239061069,875.343083774893,107.5239061069,109.336653194495,1281.61428811337,0,0,875.343083774893,0,1440.61753733549,1.22267960700672,1.09209267245606,0,0
1,1,424.306222924566,156.04906724874,580.355290173306,156.04906724874,124.379419352308,644.401874518127,1,1,424.306222924566,156.04906724874,2009.41563624663,0.136645120468456,1.85292898898479,0,1
0,0,807.261479752169,101.291967733382,936.303182234346,129.041702482177,159.562680646871,1010.70779934965,1,0,647.280630399473,0,647.280630399473,0.883437365472782,1.88425702187233,1,0
1,0,626.592173080528,64.1103731115225,693.680296310156,67.0881232296276,84.2453804794276,644.381157473956,0,1,693.680296310156,0,1551.97899818886,0.136580820912495,1.30919830116909,0,1
1,0,613.621122513027,63.1384326131248,679.401675154509,65.7805526414822,88.4816961985083,696.21191989881,0,1,679.401675154509,0,1545.72059605271,0.291308193204459,1.31801083348691,0,1
1,0,994.326386832932,77.17365069534,1071.50003752827,77.17365069534,116.78953782539,864.299684084886,1,0,1071.50003752827,0,1079.39363301266,0.659885093204211,1.57800995626021,1,1
1,1,880.625105618964,99.1846764307604,993.876653789117,113.251548170153,138.954274371743,1101.60920182655,1,0,880.625105618964,99.1846764307604,2826.28427955089,1.00646757218055,1.66525580750313,1,0
0,0,722.930367231947,66.3879652441931,789.31833247614,66.3879652441931,101.269281342126,837.243039901084,1,0,595.809590164572,0,595.809590164572,0.614449140846264,1.4168104732642,1,1
1,1,1349.20194681562,133.289420089538,1505.59129301196,156.389346196345,135.052441779154,931.252878556856,1,0,1349.20194681562,133.289420089538,1621.28261017441,0.766472658223938,1.71965170395561,0,0
1,0,736.818006465428,94.0080097861944,830.826016251623,94.0080097861944,113.366160791988,722.082926146143,1,1,830.826016251623,0,1008.92324261367,0.364279976910912,1.65167368496768,1,1
1,1,589.441637152021,81.3752722870675,681.455206737607,92.0135695855855,83.5760920496944,687.086673529164,0,1,589.441637152021,81.3752722870675,1688.64057859607,0.264920893213712,1.15427076986525,0,1
0,0,749.246979596447,106.79875138703,891.556343594042,142.309363997595,164.074670334818,912.088844891258,1,0,367.773892683908,0,367.773892683908,0.73676771853352,1.97411414445378,0,0
1,1,1291.54510315591,107.772135981154,1426.13206338896,134.586960233043,144.40502820875,862.587788024917,1,0,1291.54510315591,107.772135981154,2422.34136216892,0.657052752776071,1.84438277676236,1,0
0,0,1506.55173579512,104.195294368398,1632.11250610528,125.560770310164,150.569524393431,1086.41586314394,1,0,1426.26657588407,0,1426.26657588407,0.986627654666081,1.77304579652846,1,0
0,0,499.173331911399,163.642769433901,662.816101345301,163.642769433901,143.320624288077,729.549457413453,1,1,528.109280625358,0,528.109280625358,0.3848543239641,1.93703493892681,1,1
1,0,908.073418106841,159.624449292468,1096.40700016462,188.333582057781,82.9025035494179,707.33166201577,0,1,1096.40700016462,0,1871.66286762804,0.322999335320201,1.06921820240095,0,1
1,0,1025.76655840681,103.548324885072,1129.31488329188,103.548324885072,98.356241813564,900.254933615081,0,0,1129.31488329188,0,1469.50704231858,0.718111403980292,1.24387528980151,1,0
1,0,705.710490617624,60.4993073436172,777.375292278227,71.6648016606031,79.116605654418,656.92669808273,0,1,777.375292278227,0,1451.08596631326,0.175144883219618,1.06126440064982,0,1
0,0,651.007548104745,67.6893776089537,725.386020962303,74.3784728575583,99.6659255610532,949.739614849395,0,0,259.949094429612,0,259.949094429612,0.794554081989918,1.2115254141856,0,1
1,1,505.756633930384,53.3397450057309,569.377495533308,63.6208616029231,89.8198458420535,835.734339798734,0,0,505.756633930384,53.3397450057309,1952.53597215424,0.611872553175781,1.04748061802238,0,1
1,1,459.262125829559,101.287353010113,560.588501286769,101.326375457209,96.5795930192957,772.463894653561,1,1,459.262125829559,101.287353010113,1304.90325005478,0.499170538734179,1.40077038111631,0,0
1,1,1567.89143837984,52.6754987748994,1635.39860137548,67.5071629956458,102.374885604597,1254.06629435095,0,0,1567.89143837984,52.6754987748994,1686.11125220075,1.19163798014866,0.903833435708657,1,1
